sentence,amount_raw,amount_number,amount_unit,percentage,ministry,schemes,top_keywords,entities
"Additional infrastructure will be 
created in the 5 IITs started after 2014 to facilitate education for 6,500 more 
students.",,,,,,Additional,students; iits; education; additional,"5(CARDINAL); 2014(DATE); 6,500(CARDINAL)"
"Hostel and other infra structure capacity at IIT, Patna will also be 
expanded.",,,,,,Hostel; Patna,expanded; structure; capacity,Hostel(ORG); IIT(ORG); Patna(ORG)
"Centre of Excellence in AI for Education  
46.",,,,,Education,Centre; Excellence; Education,centre; excellence; education,Centre of Excellence(ORG); AI(GPE); 46(CARDINAL)
"I had announced three Centres of Excellence in Artificial Intelligence for 
agriculture,  health,  and sustainable cities in 2023.",,,,,,Centres; Excellence; Artificial Intelligence,cities; centres excellence; health; excellence,three(CARDINAL); Centres of Excellence(ORG); 2023(DATE)
"Now a Centre of Excellence 
in Artificial Intelligence for education will be set up with a total outlay of ` 500 
crore.","500 
crore",500,crore,,,Now; Centre; Excellence; Artificial Intelligence,centre; outlay; excellence; education,Artificial Intelligence(ORG); 500(CARDINAL)
"Expansion of medical education  
47.",,,,,,Expansion,expansion; 47; medical; education,47(CARDINAL)
"Our Government  has added almost 1.1 lakh UG and PG medical 
education seats in ten years, an increase of 130 per cent.","rs,",",",,,,Our Government,seats; medical; education; increase,almost 1.1(CARDINAL); UG(GPE); ten years(DATE); 130 per cent(MONEY)
"In the next  year, 
10,000  additional seats will be added in medical colleges and hospitals, towards 
the goal of adding 75,000 seats in the next 5 years.",rs.,.,,,,,seats; 000; goal; hospitals,"the next  year(DATE); 10,000(CARDINAL); 75,000(CARDINAL); the next 5 years(DATE)"
"Day Care Cancer Centres in all District Hospitals   
48.",,,,,,Day Care Cancer Centres; District Hospitals,cancer; hospitals; 48; day,District Hospitals(ORG); 48(DATE)
"Our Government  will facilitate setting up of Day Care Cancer Centres 
in all district hospitals in the next 3 years.",rs.,.,,,,Our Government; Day Care Cancer Centres,cancer; hospitals; day; centres,Day Care Cancer Centres(ORG); the next 3 years(DATE)
"200 Centres will be established in 
2025 -26.",,,,,,Centres,established; 2025 26; 26; centres,200(CARDINAL); Centres(ORG); 2025(DATE)
"10  
 
Strengthening urban livelihoods  
49.",,,,,,Strengthening,urban; 10,10(CARDINAL)
"Our Government  has been giving priority to assisting urban poor and 
vulnerable groups.",,,,,,Our Government,giving; groups; urban; government,
"A scheme for socio -economic upliftment of urban workers 
will be implemented to help them improve their incomes, have sustainable 
livelihoods and a better quality of life.",,,,,,,workers; incomes; implemented; sustainable,
PM,,,,,,,pm,
"SVANidhi  
50.",,,,,,,50,50(CARDINAL)
PM,,,,,,,pm,
"SVANidhi scheme has benefitted more than 68 lakh street vendors 
giving them respite from high -interest informal sector loans.",68 lakh,68,lakh,,,,giving; loans; high; sector,more than 68(CARDINAL)
"Building on this 
success, the scheme will be revamped with enhanced loans from banks, UPI 
linked credit cards with ` 30,000 limit, and capacity building support.",,,,,,Building,building; capacity building; 30 000; credit cards,"UPI(NORP); 30,000(CARDINAL)"
"Social Security Scheme for Welfare of Online Platform Workers  
51.","rs  
51.",51.,,,,Social Security Scheme; Welfare; Online Platform Workers,platform; workers; scheme,Social Security Scheme for Welfare of Online Platform Workers(ORG); 51(CARDINAL)
"Gig workers of online platforms provide great dynamism to the new -
age services economy.",,,,,,Gig,great; workers; economy; services,
"Recognising their contribution, our Government  will 
arrange for their identity cards and registration on the e -Shram portal.",,,,,,Recognising; Government; Shram,contribution government; portal; registration; cards,Government(ORG)
"They 
will be provided healthcare under PM Jan Arogya Yojana.",,,,,,They; Jan Arogya Yojana,jan; pm; provided,under PM Jan(DATE); Yojana(GPE)
"This measure is likely 
to assist nearly 1 crore gig -workers.",rs.,.,,,,This,nearly; workers; crore,nearly 1(CARDINAL)
"B. Investing in the Economy  
Public Private Partnership in Infrastructure  
52.",,,,,,"Investing; Economy  
Public Private Partnership; Infrastructure",public; investing; partnership; private,
"Each infrastructure -related ministry will come up with a 3 -year pipeline 
of projects that can be implemented in PPP mode.",,,,,,Each,implemented; projects; come; related,3 -year(DATE)
"States will also be 
encouraged to do so and can seek support from the IIPDF (India Infrastructure 
Project Development Fund) scheme to prepare PPP proposals.",,,,,,"States; India Infrastructure 
Project Development; Fund",encouraged; project; proposals; infrastructure,Project Development Fund(ORG); PPP(ORG)
"Support to States for Infrastructure  
53.",,,,,,Support; States; Infrastructure,infrastructure; states; support,
"An outlay of ` 1.5 lakh crore is proposed for the 50 -year interest free 
loans to states for capital expenditure and incentives for reforms.",5 lakh,5,lakh,,,,incentives; expenditure; outlay; free,1.5(CARDINAL); the 50 -year(DATE)
"Asset Monetization Plan 2025 -30 
54.",,,,,,Asset Monetization Plan,54; plan; asset; 30,54(DATE)
"Building on the success of the first Asset Monetization Plan announced 
in 2021, the second Plan for 2025 -30 will be launched to plough back capital of 
` 10 lakh crore in new projects.",10 lakh,10,lakh,,,Building; Asset Monetization Plan; Plan,plan; 10 lakh; projects; success,first(ORDINAL); Asset Monetization Plan(EVENT); 2021(DATE); second(ORDINAL); 2025(DATE); 10(CARDINAL)
"Regulatory and fiscal measures will be fine -
tuned to support the Plan.",,,,,,Regulatory; Plan,plan; regulatory; fiscal; measures,Plan(ORG)
"Jal Jeevan Mission  
55.",,,,,,Jal Jeevan Mission,mission,Jal Jeevan Mission(PERSON)
"Since 2019, 15 crore households representing 80 per cent of India’s 
rural population have been provided access to potable tap water connections.",15 crore,15,crore,,,Since; India,access; 80; water; provided,2019(DATE); 15(CARDINAL); 80 per cent(MONEY); India(GPE)
"11  
 
To achieve 100 per cent coverage, I am pleased to announce the extension of 
the Mission until 2028 with an enhanced total outlay.",,,,,,Mission,100 cent; achieve; outlay; announce,11(CARDINAL); 100 per cent(MONEY); 2028(DATE)
"The Mission’s focus will be on the quality of infrastructure and O&M of 
rural piped water supply schemes through “Jan Bhagidhari”.",,,,,,The Mission; Jan Bhagidhari,jan; schemes; water; quality,
"Separate MoUs 
will be signed with states/UTs, to ensure sustainability and citizen -centric water 
service delivery.",,,,,,Separate,citizen; service; ensure; water,
"Urban Sector Reforms  
57.",,,,,,Urban Sector Reforms,sector reforms; urban; reforms; sector,
"Building on the July Budget proposals, urban sector reforms related to 
governance, municipal services, urban land, and planning will be incentivized.",,,,,,Building; July Budget,urban; planning; land; july budget,July(DATE)
"Urban Challenge Fund  
58.",,,,,,Urban Challenge Fund,challenge; urban; fund,Urban Challenge Fund(ORG)
"The Government  will set up an Urban Challenge Fund of ` 1 lakh crore 
to implement the proposals for ‘Cities as Growth Hubs’, ‘Creative 
Redevelopment of Cities’ and ‘Water and Sanitation’ announced in the July 
Budget.",1 lakh,1,lakh,,,"The Government; Urban Challenge Fund; Cities; Growth Hubs; Creative 
Redevelopment; Water; Sanitation; July 
Budget",cities; challenge; announced july; july budget,1(CARDINAL); July(DATE)
59.,,,,,,,59,59(CARDINAL)
"This fund will finance up to 25 per cent of the cost of bankable projects 
with a stipulation that at least 50 per cent of the cost is funded from bonds, 
bank loans, and PPPs.",,,,,,This,cost; cent; projects; bank,up to(CARDINAL); 25 per cent(MONEY); at least 50(CARDINAL)
"An allocation of ` 10,000 crore is proposed for 2025 -26.",000 crore,000,crore,,,,2025 26; 26; 000 crore; 10 000,"10,000(CARDINAL); 2025(DATE)"
"Power Sector Reforms  
60.",,,,,,Power Sector Reforms,power; 60; sector reforms; reforms,60(CARDINAL)
"We will incentivize electricity distribution reforms and augmentation of 
intra -state transmission capacity by states.",,,,,,,electricity; state; capacity; states,
"This will improve financial health 
and capacity of electricity companies.",,,,,,This,health; electricity; improve; companies,
"Additional borrowing of 0.5 per cent of 
GSDP will be allowed to states,  contingent on these reforms.",,,,,,Additional,additional; states; reforms; cent,0.5 per cent(MONEY)
"Nuclear Energy Mission for Viksit Bharat  
61.",,,,,,Nuclear Energy Mission; Viksit Bharat,nuclear energy; nuclear; viksit; energy,
"Development of at least 100 GW of nuclear energy by 2047 is essential 
for our energy transition efforts.",,,,,,Development,energy; nuclear energy; nuclear; efforts,at least 100(CARDINAL); 2047(DATE)
"For an active partnership with the private 
sector towards this goal, amendments to the Atomic Energy Act and the Civil 
Liability for Nuclear Damage Act  will be taken up.",,,,,,"For; Atomic Energy Act; Civil 
Liability; Nuclear Damage Act",act; goal; nuclear; energy,"the Atomic Energy Act(LAW); the Civil 
Liability for Nuclear Damage Act(ORG)"
"A Nuclear Energy Mission for research & development of Small Modular 
Reactors (SMR) with an outlay  of ` 20,000 crore will be set up.",000 crore,000,crore,,,"Nuclear Energy Mission; Small Modular 
Reactors",research development; nuclear energy; outlay; nuclear,"Small Modular 
Reactors(ORG); SMR(ORG); 20,000(CARDINAL)"
"12  
 
Shipbuilding    
63.",,,,,,Shipbuilding,shipbuilding; 12,12(CARDINAL)
"The Shipbuilding Financial Assistance Policy will be revamped to 
address cost disadvantages.",,,,,,The Shipbuilding Financial Assistance; Policy,address; revamped; shipbuilding; assistance,
"This will also include Credit Notes for shipbreaking 
in Indian yards to promote the circular economy.",,,,,,This; Credit Notes; Indian,notes; include; indian; economy,Credit Notes(ORG); Indian(NORP)
"Large ships above a specified size will be included in the infrastructure 
harmonized master list (HML).",,,,,,Large,large; ships; list; specified,HML(ORG)
65.,,,,,,,65,65(CARDINAL)
"Shipbuilding Clusters will be facilitated to increase the range, categories 
and capacity of ships.",,,,,,Shipbuilding Clusters,shipbuilding; ships; increase; capacity,Shipbuilding Clusters(ORG)
"This will include additional infrastructure facilities, skilling 
and technology to develop the entire ecosystem.",,,,,,This,facilities; entire; ecosystem; technology,
"Maritime Development Fund  
66.",,,,,,Maritime Development Fund,fund; development,Maritime Development Fund(ORG); 66(CARDINAL)
"For long -term financing for the maritime industry, a Maritime 
Development Fund with a corpus of ` 25,000 crore will be set up.",000 crore,000,crore,,,"For; Maritime 
Development Fund",financing; long term; long; 000 crore,"Maritime 
Development Fund(ORG); 25,000(CARDINAL)"
"This will be 
for distributed support and promoting competition.",,,,,,This,promoting; support,
"This will have up to 49 per 
cent contribution by the Government , and the balance will be mobilized from 
ports and private sector.",,,,,,This; Government,contribution government; contribution; private sector; private,up to 49(CARDINAL); Government(ORG)
"UDAN - Regional Connectivity Scheme    
67.",,,,,,Regional Connectivity Scheme,udan; connectivity; scheme,UDAN - Regional Connectivity Scheme(ORG)
"UDAN has enabled 1.5 crore middle -class people to meet their 
aspirations for speedier travel.",5 crore,5,crore,,,,udan; middle; middle class; class,UDAN(ORG); 1.5(CARDINAL)
"The scheme has connected 88 airports and 
operationalized 619 routes.",,,,,,The,scheme,88(CARDINAL); 619(CARDINAL)
"Inspired by that success, a modified UDAN scheme 
will be launched to enhance regional connect ivity to 120 new destinations and 
carry 4 crore passengers in the next 10 years.",rs.,.,,,,Inspired,udan; carry; destinations; success,120(CARDINAL); 4(CARDINAL); the next 10 years(DATE)
"The scheme will also support 
helipads and smaller airports in hilly, aspirational, and North East region 
districts.",,,,,,The; North East,region; districts; support; scheme,North East(LOC)
"Greenfield Airport in Bihar  
68.",,,,,,Greenfield Airport; Bihar,bihar,Greenfield Airport(FAC); Bihar(GPE)
"Greenfield airports will be facilitated in Bihar to meet the future needs 
of the State.",,,,,,Greenfield; Bihar; State,future; state; bihar; needs,Greenfield(PERSON); Bihar(GPE); State(ORG)
"These will be in addition to the expansion of the capacity of Patna 
airport and a brownfield airport at Bihta.",,,,,,These; Patna; Bihta,expansion; capacity; addition,Patna(GPE); brownfield(GPE); Bihta(LOC)
"Western Koshi Canal Project in Mithilanchal  
69.",,,,,,Western Koshi Canal Project; Mithilanchal,project,Western Koshi Canal Project(ORG)
"Financial support will be provided for the Western Koshi Canal ERM 
Project benefitting a large number of farmers cultivating over 50,000 hectares 
of land in the Mithilanchal region of Bihar.  
 13  
 
Mining Sector Reforms  
70.",,,,,,Financial; Western Koshi Canal; Project; Mithilanchal; Bihar; Mining Sector Reforms,mining; support provided; region; land,"the Western Koshi Canal ERM 
Project(ORG); over 50,000 hectares(QUANTITY); Mithilanchal(NORP); Bihar(GPE); 13(CARDINAL); Mining Sector Reforms(ORG)"
"Mining sector reforms, including those for minor minerals, will be 
encouraged through sharing of best practices and institution of a State Mining 
Index.  
71.",,,,,,"Mining; State Mining 
Index",mining; encouraged; best; minor,
A policy for recovery of critical minerals from tailings will be brought out.,,,,,,,brought; critical minerals; critical; minerals,
"SWAMIH Fund 2  
72.",,,,,,Fund,swamih; fund,SWAMIH Fund 2(ORG)
"Under the Special Window for Affordable and Mid -Income Housing 
(SWAMIH) fifty thousand dwelling units in stressed housing projects have been 
completed, and keys handed over to home -buyers.",rs.,.,,,,Under; Special Window; Affordable; Mid; Income Housing,swamih; completed; thousand; projects,SWAMIH(ORG); fifty thousand(CARDINAL)
"Another forty thousand 
units will be completed in 2025, further hel ping middle -class families who were 
paying EMIs on loans taken for apartments, while also paying rent for their 
current dwellings.",,,,,,Another,rent; completed; families; thousand,forty thousand(CARDINAL); 2025(DATE); hel ping(PERSON)
"Building on this success, SWAMIH Fund 2 will be established as a 
blended finance facility with contribution from the Government , banks and 
private investors.",rs.,.,,,,Building; Fund; Government,established; contribution government; swamih; banks,SWAMIH Fund 2(ORG); Government(ORG)
"This fund of ` 15,000 crore will aim for expeditious 
completion of another 1 lakh units.",000 crore,000,crore,,,This,15 000; units; 000 crore; fund,"15,000(CARDINAL); 1(CARDINAL)"
"PM Gati Shakti Data for Private Sector  
74.",,,,,,Gati Shakti Data; Private Sector,gati; gati shakti; data; private sector,
"For furthering PPPs and assisting the private sector in project planning, 
access to relevant data and maps from the PM",,,,,,For,planning; data; project; furthering,
"Gati Shakti portal will be 
provided.",,,,,,Gati Shakti,gati shakti; portal; gati; provided,Gati Shakti(PERSON)
"Tourism for employment -led growth  
75.",,,,,,Tourism,tourism; employment led; led; 75,75(CARDINAL)
"Top 50 tourist destination sites in the country will be developed in 
partnership with states through a challenge mode.",,,,,,Top,tourist; challenge; destination; partnership states,50(CARDINAL)
"Land for building key 
infrastructure will have to be provided by states.",,,,,,Land,land; provided; building; infrastructure,
"Hotels in those destinations 
will be included in the infrastruct ure HML.",,,,,,Hotels,destinations,HML(ORG)
"The following measures will be taken for facilitating employment -led 
growth:  
1) Organizing intensive skill -development programmes for our youth 
including in Institutes of Hospitality Management;  
2) Providing MUDRA loans for homestays;  
3) Improving ease of travel and connectivity to tourist destinations;  
 14  
 
4) Providing performance -linked incentives to states for effective 
destination management including tourist amenities, cleanliness, 
and marketing efforts; and  
5) Introducing streamlined e -visa facilities along with visa -fee waivers 
for certain tourist groups.",,,,,,The; Organizing; Institutes; Hospitality Management; Providing; Improving; Introducing,tourist; visa; management; providing,1(CARDINAL); Institutes of Hospitality Management(ORG); 2(CARDINAL); 3(CARDINAL); 14(CARDINAL)
"Continuing with the emphasis on places of spiritual and religious 
significance in the July Budget, there will be a special focus on destinations 
related to the life and times of Lord Buddha.",,,,,,Continuing; July Budget; Lord Buddha,destinations; july budget; special focus; related,the July Budget(EVENT); Lord Buddha(PERSON)
"Medical Tourism and Heal in India  
78.",,,,,,Medical Tourism; Heal; India,tourism; medical; india,India(GPE)
"Medical Tourism and Heal in India will be promoted in partnership with 
the private sector along with capacity building and easier visa norms.",,,,,,Medical Tourism; Heal; India,visa; capacity building; tourism; medical,India(GPE)
"C. Investing in Innovation  
Research, Development and Innovation  
79.",,,,,,"Investing; Innovation  
Research; Development; Innovation",innovation; research development; investing; research,79(CARDINAL)
"To implement private sector driven Research, Development and 
Innovation initiative announced in the July Budget, I am now allocating  
` 20,000 crore.",000 crore,000,crore,,,Research; Development; Innovation; July Budget,research development; announced july; july budget; 20 000,"Research, Development(ORG); the July Budget(EVENT); 20,000(CARDINAL)"
"Deep Tech Fund of Funds  
80.",,,,,,Deep Tech Fund; Funds,tech; fund funds; 80; funds,Deep Tech Fund of Funds(ORG); 80(CARDINAL)
"A Deep Tech Fund of Funds will also be explored to catalyze the next 
generation startups as a part of this initiative.",,,,,,Deep Tech Fund; Funds,tech; fund funds; startups; funds,
"PM Research Fellowship  
81.",,,,,,Research Fellowship,research; pm,PM Research Fellowship(ORG); 81(CARDINAL)
"In the next five years, under the PM Research Fellowship scheme, we 
will provide ten thousand fellowships for technological research in IITs and IISc 
with enhanced financial support.","rs,",",",,,,Research Fellowship,research; technological; iits; thousand,the next five years(DATE); ten thousand(CARDINAL)
"Gene Bank for Crops Germplasm  
82.",,,,,,Gene Bank; Crops Germplasm,bank,Gene Bank(ORG); 82(CARDINAL)
"The 2nd Gene Bank with 10 lakh germplasm lines will be set up for future 
food and nutritional security.",10 lakh,10,lakh,,,The; Gene Bank,future; lines; 10 lakh; 2nd,2nd(ORDINAL); Gene Bank(ORG); 10(CARDINAL)
"This will provide conservation support to both 
public and private sectors for genetic resources.",,,,,,This,public; sectors; private; support,
"National Geospatial Mission  
83.",,,,,,National Geospatial Mission,geospatial; national; mission,
"We will start a National Geospatial Mission to develop foundational 
geospatial infrastructure and data.",,,,,,National Geospatial Mission,geospatial; data; start; develop,a National Geospatial Mission(ORG)
Using PM,,,,,,Using,pm,
"Gati Shakti, this Mission will 
facilitate modernization of land records, urban planning, and design of 
infrastructure projects.",,,,,,Gati Shakti; Mission,gati; gati shakti; planning; land,Gati Shakti(PERSON)
"15  
 
Gyan Bharatam Mission  
84.",,,,,,Gyan Bharatam Mission,mission; 15,"15(CARDINAL); Gyan Bharatam Mission  
(PERSON); 84(CARDINAL)"
"A Gyan Bharatam Mission for survey, documentation and conservation 
of our manuscript heritage with academic institutions, museums, libraries and 
private collectors will be undertaken to cover more than 1 crore manuscripts.",1 crore,1,crore,,,Gyan Bharatam Mission,institutions; cover; private; mission,Gyan Bharatam Mission(PERSON); more than 1(CARDINAL)
"We will set up a National Digital  Repository of Indian knowledge systems for 
knowledge sharing.  
85.",,,,,,National Digital  Repository; Indian,digital; indian; national; set,Indian(NORP)
"Now, I move to Exports as the 4th engine.",,,,,,Now; Exports,exports 4th; engine; exports,4th(ORDINAL)
"Exports as the 4th engine  
Export Promotion Mission  
86.",,,,,,Exports; Export Promotion Mission,export promotion; promotion; exports 4th; engine,4th(ORDINAL)
"We will set up an Export Promotion Mission, with sectoral and 
ministerial targets, driven jointly by the Ministries of Commerce, MSME, and 
Finance.",,,,,Finance,Export Promotion Mission; Ministries; Commerce; Finance,promotion; export promotion; finance; export,the Ministries of Commerce(ORG); MSME(ORG)
"It will facilitate easy access to export credit, cross -border factoring 
support, and support to MSMEs to tac kle non -tariff measures in overseas 
markets.",,,,,,,support; access; msmes; measures,
"A digital public infrastructure, ‘BharatTradeNet’ (BTN) for international 
trade will be set -up as a unified platform for trade documentation and 
financing solutions.",,,,,,,trade; platform; financing; public,BTN(ORG)
"This will complement the Unified Logistics Interface 
Platform.",,,,,,"This; Unified Logistics Interface 
Platform",platform,
The BTN will be aligned wit h international practices.,,,,,,The,practices; international,BTN(ORG)
"Support for integration with Global Supply Chains  
88.",,,,,,Support; Global Supply Chains,chains; supply; global; support,Global Supply Chains(ORG)
"Support will be provided to develop domestic manufacturing capacities 
for our economy’s integration with global supply chains.",,,,,,Support,chains; support provided; domestic manufacturing; develop,
"Sectors will be 
identified based on objective criteria.",,,,,,Sectors,based; sectors,
"Facilitation groups with participation of senior officers and industry 
representatives will be formed for select products and supply chains.",,,,,,Facilitation,chains; groups; senior; facilitation,
90.,,,,,,,90,90(CARDINAL)
"Through this, there are huge opportunities related to Industry 4.0, 
which needs high skills and talent.",,,,,,Through; Industry,opportunities; skills; needs; industry,
Our youth have both.,,,,,,Our,youth,
"Our Government  will 
support the domestic electronic equipment industry to leverage this 
opportunity for the benefit of the youth.",,,,,,Our Government,electronic; industry; youth; benefit,
"National Framework for GCC  
91.",,,,,,National Framework,91; framework; national,
"A national framework will be formulated as guidance to states for 
promoting Global Capability Centres in emerging tier 2 cities.",,,,,,Global Capability Centres,capability; cities; promoting; centres,Global Capability Centres(ORG); 2(CARDINAL)
"This will suggest 
 16  
 
measures for enhancing availability of talent and infrastructure, building -
byelaw reforms, and mechanisms for collaboration with industry.",,,,,,This,availability; industry; 16; measures,16(CARDINAL)
"Warehousing facility for air cargo  
92.",,,,,,Warehousing,cargo; warehousing; facility,
"Our Government will facilitate upgradation of infrastructure and 
warehousing for air cargo including high value perishable horticulture produce.",,,,,,Our Government,cargo; warehousing; produce; high,
"Cargo screening and customs protocols will be streamlined and made user -
friendly.",,,,,,Cargo,cargo; friendly; customs,
"Reforms as the Fuel  
93.",,,,,,Reforms; Fuel,fuel; reforms,
"Now I move to ‘Reforms as the Fuel’, and detail specific reforms.",,,,,,Now; Reforms; Fuel,reforms; fuel; specific,
"Tax Reforms  
94.",,,,,,Tax Reforms,tax reforms; reforms; tax,
"Over the past 10 years, our Government  has implemented several 
reforms for convenience of tax payers, such as (1) faceless assessment, (2) tax 
payers charter, (3) faster returns, (4) almost 99 per cent returns being on self -
assessment, and (5) Vivad se Vishwas scheme.","rs,",",",,,,Over; Government; Vivad; Vishwas,returns; payers; tax payers; assessment,the past 10 years(DATE); Government(ORG); 1(CARDINAL); 2(CARDINAL); 3(CARDINAL); 4(CARDINAL); 5(CARDINAL); Vivad se Vishwas(PERSON)
"Continuing these efforts,   
I reaffirm the commitment of the tax department to “trust first, scrutinize later”.",,,,,,Continuing,commitment; efforts; trust; tax,first(ORDINAL)
I also propose to introduce the new income -tax bill next week.,,,,,,,propose introduce; introduce; income tax; new,next week(DATE)
"I will detail the 
indirect tax reforms and changes in direct taxes in Part B.   
Financial Sector Reforms and Development  
FDI in Insurance Sector  
95.",,,,,,Part; Financial Sector Reforms; Development; Insurance Sector,reforms; sector; financial sector; tax reforms,
"The FDI limit for the insurance sector will be raised from 74 to 100 per 
cent.",,,,,,The,raised; 100 cent; insurance; 100,FDI(ORG); 74 to 100(CARDINAL)
"This enhanced limit will be available for those companies which invest the 
entire premium in India.",,,,,,This; India,entire; companies; available; enhanced,India(GPE)
"The current guardrails and conditionalities associated 
with foreign investmen t will be reviewed and simplified.",,,,,,The,foreign; current,
"Expanding Services of India Post Payment Bank  
96.",,,,,,Expanding Services; India Post Payment Bank,post payment; india post; bank; payment,Expanding Services of(ORG)
"The services of India Post Payment Bank will be deepened and 
expanded in rural areas.",,,,,,The; India Post Payment Bank,post payment; rural areas; expanded; areas,India Post Payment Bank(ORG)
"Credit Enhancement Facility by NaBFID  
97.",,,,,,Credit Enhancement Facility,enhancement; facility; credit,Credit Enhancement Facility(ORG)
"NaBFID will set up a ‘Partial Credit Enhancement Facility’ for corporate 
bonds for infrastructure.",,,,,,Partial Credit Enhancement Facility,enhancement; facility; infrastructure; set,
"Grameen Credit Score  
98.",,,,,,Grameen Credit Score,credit,Grameen Credit Score(ORG); 98(CARDINAL)
"Public Sector Banks will develop ‘Grameen Credit Score’ framework to 
serve the credit needs of SHG members and people in rural areas.",,,,,,Public Sector Banks; Grameen Credit Score,credit; banks; rural areas; public,Grameen Credit Score(ORG); SHG(ORG)
"17  
 
Pension Sector  
99.",,,,,,Pension Sector,99; pension; 17; sector,17(CARDINAL)
"A forum for regulatory coordination and development of pension 
products will be set up.",,,,,,,pension; regulatory; products; set,
"KYC Simplification  
100.",,,,,,Simplification,100,"KYC Simplification  
100(ORG)"
"To implement the earlier announcement on simplifying the KYC 
process, the revamped Central KYC Registry will be rolled out in 2025.",,,,,,Central; Registry,process; earlier; revamped; central,KYC(ORG); Central KYC Registry(ORG); 2025(DATE)
"We will 
also implement a streamlined system for periodic updating.",,,,,,,implement,
"Merger of Companies  
101.",,,,,,Merger; Companies,companies,101(CARDINAL)
"Requirements and procedures for speedy approval of company mergers 
will be rationalized.",,,,,,Requirements,rationalized; company,
"The scope for fast -track mergers will also be widened and 
the process made simpler.",,,,,,The,process; scope; track,
"Bilateral Investment Treaties  
102.",,,,,,Bilateral Investment Treaties,investment,Bilateral Investment Treaties(ORG); 102(CARDINAL)
"As proposed in the Interim Budget, we signed Bilateral Investment 
Treaties (BIT) with two countries in 2024.",,,,,,"Interim Budget; Bilateral Investment 
Treaties",interim; 2024; budget; investment,"the Interim Budget(ORG); Bilateral Investment 
Treaties(ORG); two(CARDINAL); 2024(DATE)"
"To encourage sustained foreign 
investment and in the spirit of ‘first develop India’, the current model BIT will 
be revamped and made more investor -friendly.",,,,,,India,revamped; friendly; foreign; spirit,first(ORDINAL); India(GPE); BIT(ORG)
"Regulatory Reforms  
103.",,,,,,Regulatory Reforms,regulatory reforms; regulatory; reforms,103(CARDINAL)
"In the last ten years in several aspects, including financial and non -
financial, our Government  has demonstrated a steadfast commitment to ‘Ease 
of Doing Business’.",,,,,,Government; Ease; Doing Business,financial; commitment; ease doing; doing,the last ten years(DATE); Government(ORG)
"We are determined to ensure that our regulations must 
keep up with technological innovations and global policy developments.",,,,,,,technological; ensure; regulations; policy,
"A 
light -touch regulatory framework based on principles and tr ust will unleash 
productivity and employment.",,,,,,,touch; based; regulatory; framework,
"Through this framework, we will update 
regulations that were made under old laws.",,,,,,Through,laws; regulations; framework,
"To develop this modern, flexible,  
people -friendly, and trust -based regulatory framework appropriate for the 
twenty -first century, I propose four specific measures:  
High Level Committee for Regulatory Reforms  
104.",,,,,,High Level Committee; Regulatory Reforms,regulatory; committee; regulatory reforms; friendly,twenty -first century(DATE); four(CARDINAL)
"A High -Level Committee for Regulatory Reforms will be set up for a 
review of all non -financial sector regulations, certifications, licenses, and 
permissions.",,,,,,High; Level Committee; Regulatory Reforms,committee; financial sector; regulatory reforms; regulations,
"The committee will be expected make recommendations within a 
 18  
 
year.",,,,,,The,committee; expected; 18; make,"18  
 
year(DATE)"
"The objective is to strengthen trust -based economic governance and take 
transformational measures to enhance ‘ease of doing business’, especially in 
matters of inspections and compliances.",,,,,,The,especially; governance; ease doing; based,
"States will be encouraged to join in 
this endeavour.",,,,,,States,encouraged; states,
"Investment Friendliness Index of States  
105.",,,,,,Investment Friendliness Index; States,states; investment,105(CARDINAL)
"An Investment Friendliness Index of States will be launched in 2025 to 
further the spirit of competitive cooperative federalism.",,,,,,Investment Friendliness Index; States,cooperative; competitive; spirit; launched,2025(DATE)
"FSDC Mechanism  
106.",,,,,,Mechanism,mechanism,106(CARDINAL)
"Under the Financial Stability and Development Council, a mechanism 
will be set up to evaluate impact of the current financial regulations and 
subsidiary instructions.",,,,,,Under; Financial Stability; Development Council,financial; mechanism; regulations; current,the Financial Stability and Development Council(ORG)
"It will also formulate a framework to enhance their 
responsiveness and development of the  financial sector.",,,,,,,financial sector; enhance; framework; financial,
"Jan Vishwas Bill 2.0  
107.",,,,,,Jan Vishwas Bill,107; jan; vishwas,Jan Vishwas(PERSON); 2.0(CARDINAL); 107(CARDINAL)
"In the Jan Vishwas Act 2023, more than 180 legal provisions were 
decriminalized.",,,,,,Jan Vishwas Act,jan; 2023; vishwas; provisions,2023(DATE); more than 180(CARDINAL)
"Our Government  will now bring up the Jan Vishwas Bill 2.0 to 
decriminalize more than 100 provisions in various laws.",,,,,,Our Government; Jan Vishwas Bill,various; laws; jan; vishwas,more than 100(CARDINAL)
"Fiscal Policy  
108.",,,,,,Fiscal Policy,fiscal policy; fiscal; policy,108(CARDINAL)
Now I move to fiscal policy matters.,rs.,.,,,,Now,fiscal policy; fiscal; policy,
"Fiscal Consolidation  
109.",,,,,,Fiscal Consolidation,fiscal,109(CARDINAL)
"In the July Budget, I had committed to staying the course for fiscal 
consolidation.",,,,,,July Budget,july budget; fiscal; july; budget,the July Budget(EVENT)
"Our endeavour will be to keep the fiscal deficit each year such 
that the Central Government debt remains on a declining path as a percentage 
of the GDP.",,,,,,Our; Central Government,gdp; central government; deficit; fiscal deficit,each year(DATE); the Central Government(ORG)
"The roadmap for the  next 6 years has been detailed in the FRBM 
statement.",,,,,,The,statement; years,next 6 years(DATE); FRBM(ORG)
